model,var_num,train_subset_size,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,22,11952,0.6680052686587201,0.8254964143459899,0.6741573033707866,0.4955925563173359,0.6043666779828591,0.22180388219544847,0.48635698630680513,0.26829561706866123,0.48635698630680513,0.28932164248333303,0.12852729724458378,0.11262969794375492
lgb,23,11952,0.6681570869996407,0.8245485161514332,0.6786289394985047,0.4960655737704918,0.6059411792412482,0.22180388219544847,0.48821131057008993,0.2692365115072446,0.48821131057008993,0.29023549967731366,0.1283620247356245,0.11239953251714424
lgb,24,11952,0.6687401701724285,0.823997911092087,0.6873857404021938,0.49698353171368004,0.6046753025919274,0.22180388219544847,0.4877338374087484,0.2676269689946531,0.4877338374087484,0.2886722084686165,0.1286447484062343,0.1119186827495217
lgb,25,11952,0.6673687093496435,0.8232763834934416,0.6848373797526339,0.49429409846755784,0.6016148081557346,0.22180388219544847,0.4930816370203933,0.2652504085622369,0.4930816370203933,0.2863639401241215,0.12906220236201515,0.11124007645944244
lgb,26,11952,0.6671257531466578,0.8242712270584642,0.6889191643960038,0.4935275080906149,0.5974121338802313,0.22180388219544847,0.49501216615865606,0.2645941095098593,0.49501216615865606,0.2857265002734608,0.1291774843602565,0.11136933522715317
lgb,1,12151,0.5,0.521476262335533,0.0,0.0,0.4505628233760792,0.22121636079335033,0.0012936467096700266,0.001082961326603682,0.0012936467096700266,0.028133944637419583,0.1754644500527785,0.0006865307423098017
lgb,2,12151,0.5052119611298189,0.5899156619439762,0.03678326721961774,0.027122049221496733,0.3032003490083879,0.22121636079335033,0.045247235092439664,0.019537730810136655,0.045247235092439664,0.04608895323793982,0.17222278347496206,0.009117385732980163
lgb,3,12151,0.5135899672442558,0.6503570210555014,0.13160586430276167,0.07251908396946564,0.34305444298960475,0.22121636079335033,0.14375592335475118,0.0467436317472395,0.14375592335475118,0.07255810993732026,0.1674439397258768,0.023589971799786037
lgb,4,12151,0.5203772779486905,0.6485517377616181,0.1800262812089356,0.10560146923783287,0.34402949345406175,0.22121636079335033,0.1548082730400645,0.04540369573231873,0.1548082730400645,0.0712544598053847,0.167679305754147,0.022859816445207723
lgb,5,12151,0.6447676324234307,0.8071006722725433,0.5524442335073564,0.4499916791479447,0.5696715811500423,0.22121636079335033,0.3571735829807824,0.23468024261398812,0.3571735829807824,0.2554053390764338,0.13443199499590117,0.09991788655615032
lgb,6,12151,0.6468147200064476,0.8068747800137401,0.5587102983638115,0.4540669043980303,0.5792917319390003,0.22121636079335033,0.3769202337165384,0.23909468519562282,0.3769202337165384,0.2597002371834234,0.13365657750887464,0.10069541737069554
lgb,7,12151,0.6533979076714886,0.8069266356610506,0.5739378115357228,0.46722129783693844,0.580962011469492,0.22121636079335033,0.3807102440211657,0.2407739483336624,0.3807102440211657,0.26133402535471095,0.13336160708430234,0.10106734147015553
lgb,8,12151,0.6567694814208791,0.8101593745053117,0.591189009947892,0.4738849278726579,0.589905744576658,0.22121636079335033,0.39531194874891185,0.2475914462148373,0.39531194874891185,0.2679669032782065,0.13216408169416083,0.10381761012141386
lgb,9,12151,0.6535799491080555,0.8105732337236329,0.5954415954415955,0.4676234979973298,0.5904183678629131,0.22121636079335033,0.40305932884689255,0.24759787121797538,0.40305932884689255,0.26797315429026625,0.13216295311230813,0.10414650450046899
lgb,10,12151,0.6536480682170411,0.8094475405545916,0.5886271710682845,0.4677446241040174,0.5883812688202751,0.22121636079335033,0.402655531717499,0.24623603054509058,0.402655531717499,0.26664819268529993,0.13240216679620384,0.10338133285652978
lgb,11,12151,0.6540802701991608,0.8103303263305562,0.6075889700683478,0.468676716917923,0.5914866677109871,0.22121636079335033,0.412608443376263,0.24733765142571995,0.412608443376263,0.2677199813307155,0.13220866193593736,0.10416539682976955
lgb,12,12151,0.6617092004023186,0.8138159493132914,0.6186915887850467,0.48347311297483964,0.592975875106188,0.22121636079335033,0.4206206758475425,0.251603383202445,0.4206206758475425,0.27187019576752836,0.13145936619735454,0.10587781593820617
lgb,13,12151,0.6616034195675567,0.8152352926567952,0.6203682125378699,0.48339666281182886,0.5940198602670003,0.22121636079335033,0.43846929826196157,0.25472773093214596,0.43846929826196157,0.2749099351914128,0.13091055990519873,0.10685798987822256
lgb,14,12151,0.6611409944897907,0.8163874505584907,0.6315546315546317,0.48238393151135994,0.5952263630474656,0.22121636079335033,0.44449051749000235,0.2560328053998825,0.44449051749000235,0.27617966783767744,0.1306813174707485,0.10742551132952612
lgb,15,12151,0.6640885077498812,0.8163411885267505,0.6324311820495028,0.48822269807280516,0.5972530961840951,0.22121636079335033,0.44279180590296074,0.2567795151868544,0.44279180590296074,0.27690615649195915,0.13055015440409978,0.10760796032886925
lgb,16,12151,0.6661490668677792,0.8183898770747823,0.6602298850574714,0.49206089376330003,0.6015489180630196,0.22121636079335033,0.462690463904453,0.2612595055207274,0.462690463904453,0.28126482729772095,0.12976322314780772,0.10902927864912827
lgb,17,12151,0.6650503167684997,0.8206303007073062,0.6494397438829179,0.4898626553302812,0.60105984769044,0.22121636079335033,0.4620866006095051,0.2631596517795851,0.4620866006095051,0.2831135170063882,0.1294294535699326,0.10996419135157225
lgb,18,12151,0.6673461591716904,0.8224618925421349,0.6622876557191394,0.49435998038254053,0.6006869308976663,0.22121636079335033,0.4707913914250551,0.26492202255427255,0.4707913914250551,0.2848281622337401,0.1291198849002658,0.11088547464315913
lgb,19,12151,0.6646185833615065,0.8225673512314974,0.6645279560036663,0.48910014751680053,0.6015232301910657,0.22121636079335033,0.47191845664564325,0.2651517114502351,0.47191845664564325,0.28505163108314147,0.1290795389713718,0.11089656006890378
lgb,20,12151,0.6689442932118224,0.8215089962128977,0.6653061224489796,0.4970854922279794,0.6008529396279731,0.22121636079335033,0.47766062081676774,0.26315756263489865,0.47766062081676774,0.283111484436388,0.12942982053796825,0.11020292326232074
lgb,21,12151,0.6658233485831109,0.8230771609689104,0.6600781429556424,0.4914754098360656,0.6016653078683692,0.22121636079335033,0.4769057407745406,0.2656855268255012,0.4769057407745406,0.28557099057243474,0.12898577180390497,0.11123719573836115
lgb,22,12151,0.6687327315422987,0.8256724228778057,0.6709177863812343,0.49705882352941183,0.6048582049935842,0.22121636079335033,0.480413621801311,0.268941467962204,0.480413621801311,0.288738759813034,0.12841385051431067,0.11273490134983681
lgb,23,12151,0.6697475481220797,0.8235604864497055,0.6743243243243243,0.49870298313878086,0.6040997952509537,0.22121636079335033,0.4860569134804231,0.2668448530089492,0.4860569134804231,0.28669892184316614,0.1287821307372948,0.11157627807987079
lgb,24,12151,0.6674140439931129,0.8245413899047207,0.6810422282120394,0.49430523917995445,0.6039865809856162,0.22121636079335033,0.4905178657758944,0.26787834061544136,0.4905178657758944,0.28770442228464577,0.1286005938053086,0.11213704594301102
lgb,25,12151,0.6650272980154203,0.8221709171506852,0.6796116504854369,0.4896630310923002,0.599159997532204,0.22121636079335033,0.4878220406372784,0.2626289934090069,0.4878220406372784,0.28259722902911655,0.12952266619475983,0.11055894199664382
lgb,26,12151,0.6709746292340741,0.8236143237793209,0.6909660107334527,0.50080567193039,0.600208609342817,0.22121636079335033,0.4946652715916534,0.2644356751575171,0.4946652715916534,0.28435498527537295,0.12920531409528646,0.1112943248828404
lgb,1,12350,0.5,0.521476262335533,0.0,0.0,0.4505628233760792,0.22186234817813766,0.00137269087401104,0.0011240033773731728,0.00137269087401104,0.02592630654042316,0.17545724082459585,0.0006848659565484341
lgb,2,12350,0.5055906869756498,0.5913821361356,0.04226840436773512,0.029544316474712073,0.3037240656982676,0.22186234817813766,0.04694425112869105,0.019853979364501617,0.04694425112869105,0.0441912132454384,0.17216723293720637,0.009323273384188112
