model,pr_auc,roc_auc,f1,efron,ffc,ip,imv,seed
XGB,0.6745139739180229,0.8635750646028432,0.5726735138499844,0.3428623008788909,0.5623358462999483,0.22464295574910267,0.13903259088097247,906586084894
LGB,0.6300338029722714,0.840904257840648,0.5224476753474996,0.2926662876776549,0.5289045035749484,0.22464295574910267,0.12219807409196094,906586084894
SGD,0.5274078152938804,0.7646861792282678,0.47435508345978755,-0.07970833018712953,0.28089708868284535,0.22464295574910267,-0.35287345985909885,906586084894
DecisionTree,0.7428708739201776,0.8129294051743345,0.7101579555669706,0.24753605627024988,0.4988470520520384,0.22464295574910267,-0.3528734531906021,906586084894
AdaBoost,0.581371866341897,0.8163074023077481,0.4802855752068798,-0.381784288796688,0.07970969834622932,0.22464295574910267,-0.24258155621609132,906586084894
LogisticRegression,0.5833213373898634,0.8142911821111762,0.4669677203545743,0.24650525683835678,0.4981605232444577,0.22464295574910267,0.10518778890196195,906586084894
SVC,0.5615147837658134,0.7757263558748426,0.3362273086029992,0.19158566103614416,0.4615831994195245,0.22464295574910267,0.07710886885157989,906586084894
Gaussian,0.4014211079892249,0.7212053751502271,0.40787921679641426,-0.4118482434157882,0.05968662666301383,0.22464295574910267,-0.3528734531906021,906586084894
KNeighbors,0.5940814571667827,0.8124066998589666,0.5232506314069232,0.22653241052147954,0.48485829010222814,0.22464295574910267,-0.3528734531906021,906586084894
Bagging,0.8028903002192842,0.9122008333296238,0.7162340519137703,0.49931309229360266,0.666534560377382,0.22464295574910267,-0.3528734531906021,906586084894
RandomForest,0.7996945153133466,0.9059132189494592,0.6890039597928723,0.48330364675620685,0.6558720151578601,0.22464295574910267,-0.3528734531906021,906586084894
ExtraTrees,0.8283571779053224,0.9194659832810833,0.7110507246376812,0.5214069272740947,0.6812494056855396,0.22464295574910267,-0.3528734531906021,906586084894
sl,0.8802062072092914,0.9455015596913557,0.7414852037967616,0.6065420162231892,0.737950728262099,0.22464295574910267,0.21539251462898493,906586084894
XGB,0.6745139739180229,0.8635750646028432,0.5726735138499844,0.3428623008788909,0.5623358462999483,0.22464295574910267,0.13903259088097247,674034996396
LGB,0.6300338029722714,0.840904257840648,0.5224476753474996,0.2926662876776549,0.5289045035749484,0.22464295574910267,0.12219807409196094,674034996396
SGD,0.5332988210022527,0.7691368424455967,0.5104351384531441,-0.04473953844038947,0.30418685986203575,0.22464295574910267,-0.352873456211809,674034996396
DecisionTree,0.740646064660917,0.8114972638726938,0.707723890171927,0.2405348410206598,0.4941841314021017,0.22464295574910267,-0.3528734531906021,674034996396
AdaBoost,0.581371866341897,0.8163074023077481,0.4802855752068798,-0.3817842887966876,0.07970969834622954,0.22464295574910267,-0.24258155621609132,674034996396
LogisticRegression,0.5833213373898634,0.8142911821111762,0.4669677203545743,0.24650525683835678,0.4981605232444577,0.22464295574910267,0.10518778890196195,674034996396
SVC,0.5615183825091212,0.7757270001656412,0.3362273086029992,0.19163358270347175,0.4616151160117439,0.22464295574910267,0.07711276308394648,674034996396
