model,train_subset_size,var_num,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,12151,7,0.5529077546606239,0.7036620102794449,0.3609982588508416,0.22258726899383985,0.4051905881402789,0.22121636079335033,0.24166095079934868,0.09083092527341474,0.24166095079934868,0.115451505877186,0.1596998004096037,0.044455038303688375
lgb,12151,8,0.5671963674181909,0.7276255865291523,0.4288888888888888,0.26420341676599124,0.4474890704679776,0.22121636079335033,0.2933543296834116,0.12285728832141463,0.2933543296834116,0.14661058507800262,0.15407421994411194,0.05694053879203204
lgb,12151,9,0.646328807600476,0.803432910233423,0.5637454981992798,0.4531014880454773,0.5627629423447149,0.22121636079335033,0.374396484079757,0.22756288445653383,0.374396484079757,0.2484807211859692,0.13568219224610015,0.09735155220276277
lgb,12151,10,0.6602072999787502,0.8120151370070717,0.5941962229387379,0.47987169206094626,0.5775476620706745,0.22121636079335033,0.3973599789084863,0.24215109583699457,0.3973599789084863,0.2626738792764074,0.1331197046840443,0.1029752034313483
lgb,12151,11,0.545339739223885,0.6877771963541419,0.3067705212702217,0.19657577679137603,0.39921046098482915,0.22121636079335033,0.1889042090185582,0.08288379722889727,0.1889042090185582,0.10771958852562724,0.16109575062152734,0.03874576078419852
lgb,12151,12,0.5643253490474688,0.7175003516265843,0.3978310502283105,0.25477963372912055,0.4269131434941189,0.22121636079335033,0.2769852656103712,0.10961569959092043,0.2769852656103712,0.13372758267839435,0.15640016693917655,0.05218699996238347
lgb,12151,13,0.6601552295678401,0.8149387822216662,0.6075949367088607,0.48014322916666663,0.5838307606208941,0.22121636079335033,0.4123190781729993,0.2482403424516163,0.4123190781729993,0.2685982272035802,0.13205010003510442,0.10542450183983822
lgb,12151,14,0.575515333066714,0.7456031545883228,0.449468809588668,0.2861067503924647,0.4680555190347009,0.22121636079335033,0.3160180238678689,0.14248099982100826,0.3160180238678689,0.16570288038213654,0.15062722323371106,0.0655250265979409
lgb,12151,15,0.6565035064648138,0.8131380675352644,0.6378752886836028,0.4731323722149411,0.5852045678616729,0.22121636079335033,0.4476703721034557,0.24583622149772943,0.4476703721034557,0.266259210590978,0.1324723951253897,0.1045188828593556
lgb,12151,16,0.5738414069999033,0.7417961866887647,0.4555433589462129,0.2802143282397301,0.4596037555390635,0.22121636079335033,0.3364611528539222,0.13661495406851998,0.3364611528539222,0.1599956889685048,0.15165762160724539,0.06377231152373715
lgb,12151,17,0.5798484815471602,0.7491948219793285,0.4933967247754887,0.29899691358024694,0.4703863780791674,0.22121636079335033,0.35179779076507267,0.14561629800101572,0.35179779076507267,0.16875327371473592,0.15007649344374063,0.06719350737797254
lgb,12151,18,0.6650128893302866,0.8210362039104625,0.6649827784156142,0.49003787255063397,0.5995411469698583,0.22121636079335033,0.47299348881157355,0.26301004587392784,0.47299348881157355,0.28296796247506995,0.12945573254700926,0.11003503863312637
