,HHID,PN,var1,zero_counts,var2,var3,var4,var5,var6,var7
27,010281,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
28,010299,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
29,010299,012,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
30,010372,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
31,010394,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
32,010394,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
33,010395,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
34,010395,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
35,010397,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
36,010397,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
37,010404,010,5.0,0,5.0,4.0,3.0,5.0,5.0,5.0
38,010433,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
39,010451,010,6.0,0,6.0,6.0,6.0,6.0,1.0,6.0
40,010451,020,5.0,1,3.0,5.0,0.0,5.0,5.0,5.0
41,010453,010,6.0,0,5.0,6.0,6.0,6.0,2.0,5.0
42,010453,020,5.0,0,5.0,5.0,6.0,6.0,3.0,4.0
43,010458,020,4.0,0,4.0,2.0,5.0,5.0,6.0,2.0
44,010458,030,6.0,0,6.0,5.0,6.0,6.0,5.0,6.0
45,010465,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
46,010475,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
47,010475,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
48,010477,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
49,010477,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
50,010481,010,5.0,0,4.0,4.0,4.0,4.0,3.0,4.0
51,010481,020,5.0,0,5.0,6.0,6.0,4.0,3.0,6.0
52,010482,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
53,010533,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
54,010533,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
55,010537,010,5.0,0,5.0,5.0,6.0,6.0,5.0,6.0
56,010546,010,1.0,0,4.0,2.0,4.0,5.0,6.0,6.0
57,010565,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
58,010568,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
59,010571,010,5.0,0,2.0,5.0,3.0,2.0,2.0,5.0
60,010577,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
61,010577,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
62,010592,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
63,010600,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
64,010611,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
65,010645,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
66,010645,031,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
67,010648,010,6.0,0,4.0,5.0,6.0,6.0,6.0,6.0
68,010648,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
69,010652,010,3.0,0,6.0,2.0,4.0,5.0,6.0,6.0
70,010672,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
71,010672,031,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
72,010707,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
73,010707,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
74,010719,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
75,010719,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
76,010740,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
77,010756,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
78,010756,011,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
79,010769,010,5.0,0,4.0,5.0,4.0,6.0,6.0,2.0
80,010769,040,6.0,0,6.0,6.0,2.0,6.0,6.0,5.0
81,010773,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
82,010773,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
83,010775,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
84,010775,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
