,HHID,PN,value
1061,017635,010,
1062,017635,020,
1063,017640,010,
1064,017641,010,
1065,017642,010,
1066,017646,041,
1067,017653,010,
1068,017653,040,
1069,017661,030,
1070,017674,030,
1071,017681,020,
1072,017707,040,
1073,017707,041,
1074,017714,020,
1075,017715,010,
1076,017715,020,
1077,017750,010,
1078,017750,020,
1079,017755,010,
1080,017773,010,
1081,017773,040,
1082,017785,030,
1083,017790,010,
1084,017790,040,
1085,017833,010,
1086,017833,020,
1087,017844,010,
1088,017862,010,
1089,017862,040,
1090,017909,010,
1091,017909,020,
1092,017922,010,
1093,017923,010,
1094,017923,011,
1095,017924,010,
1096,017924,040,
1097,017933,010,
1098,017933,020,
1099,017952,010,
1100,017952,040,
1101,017970,010,
1102,017970,020,
1103,017978,010,
1104,017978,020,
1105,017980,010,
1106,017980,020,
1107,017986,020,
1108,017986,030,
1109,018034,010,
1110,018048,010,
1111,018052,010,
1112,018075,010,
1113,018075,040,
1114,018092,010,
1115,018097,010,
1116,018098,010,
1117,018100,010,
1118,018150,010,
1119,018150,040,
1120,018155,020,
1121,018155,030,
1122,018158,010,
1123,018163,020,
1124,018163,030,
1125,018166,010,
1126,018175,020,
1127,018175,030,
1128,018198,020,
1129,018199,010,
1130,018199,020,
1131,018200,010,
1132,018200,020,
1133,018204,020,
1134,018210,010,
1135,018210,040,
1136,018212,010,
1137,018216,010,
1138,018216,020,
1139,018229,010,
1140,018243,010,
1141,018245,010,
1142,018245,020,
1143,018259,010,
1144,018264,010,
1145,018276,010,
1146,018276,020,
1147,018285,020,
1148,018285,030,
1149,018298,010,
1150,018301,010,
1151,018301,040,
1152,018304,010,
1153,018304,020,
1154,018309,010,
1155,018309,020,
1156,018345,020,
1157,018352,010,
1158,018352,040,
1159,018360,010,
1160,018363,010,
1161,018364,011,
1162,018417,010,
1163,018421,010,
1164,018421,020,
1165,018424,040,
1166,018435,040,
1167,018435,042,
1168,018439,010,
1169,018439,040,
1170,018442,010,
1171,018442,040,
1172,018443,010,
1173,018451,010,
1174,018451,040,
1175,018481,020,
1176,018481,030,
1177,018482,040,
1178,018482,041,
1179,018483,010,
1180,018508,040,
1181,018508,010,
1182,018508,011,
1183,018525,020,
1184,018525,030,
1185,018531,020,
1186,018531,030,
1187,018536,010,
1188,018539,010,
1189,018539,011,
1190,018566,010,
1191,018566,020,
1192,018632,020,
1193,018632,030,
1194,018646,020,
1195,018679,010,
1196,018680,020,
1197,018686,020,
1198,018686,030,
1199,018707,020,
1200,018733,010,
1201,018733,020,6.0
1202,018734,010,
1203,018739,010,
1204,018739,040,
1205,018742,010,
1206,018742,040,
1207,018758,010,
1208,018759,010,
1209,018774,010,
1210,018774,020,
1211,018776,010,
1212,018776,040,
1213,018779,010,
1214,018779,011,
1215,018782,010,
1216,018782,040,
1217,018808,010,
1218,018808,020,
1219,018828,010,
1220,018831,010,
1221,018865,010,
1222,018877,010,
1223,018889,010,
1224,018889,040,
1225,018896,010,
1226,018896,040,
1227,018918,011,
1228,018918,040,
1229,018918,041,
1230,018950,010,
1231,018961,010,
1232,018963,010,
1233,018966,010,
1234,018972,010,
1235,018972,011,1.0
1236,018973,010,
1237,018973,040,
1238,018983,020,
1239,018983,030,
1240,018990,010,
1241,018990,040,
1242,018992,010,
1243,019001,010,
1244,019031,020,
1245,019047,020,
1246,019047,030,
1247,019049,010,
1248,019050,010,
1249,019052,010,
