,HHID,PN,value
501,12744,10,-1.0
502,12744,20,-1.0
503,12745,10,-1.0
504,12745,20,-1.0
505,12756,10,-1.0
506,12757,10,-1.0
507,12761,10,-1.0
508,12761,40,-1.0
509,12762,10,-1.0
510,12765,10,-1.0
511,12765,20,-1.0
512,12786,10,1.0
513,12792,10,-1.0
514,12799,20,-1.0
515,12799,30,-1.0
516,12804,10,-1.0
517,12821,10,1.0
518,12830,10,-1.0
519,12852,20,-1.0
520,12852,30,-1.0
521,12854,10,-1.0
522,12864,20,-1.0
523,12864,30,-1.0
524,12887,10,-1.0
525,12909,20,-1.0
526,12909,30,-1.0
527,12920,10,1.0
528,12922,10,-1.0
529,12922,40,-1.0
530,12948,10,-1.0
531,12964,10,-1.0
532,12964,40,-1.0
533,12967,10,-1.0
534,12971,20,-1.0
535,12971,30,-1.0
536,12974,10,-1.0
537,12974,20,-1.0
538,12979,10,-1.0
539,12979,20,-1.0
540,12981,20,-1.0
541,12981,30,-1.0
542,12985,10,-1.0
543,12985,40,-1.0
544,12987,10,-1.0
545,12987,20,-1.0
546,13008,10,-1.0
547,13008,40,-1.0
548,13054,10,-1.0
549,13054,40,-1.0
550,13062,10,-1.0
551,13062,20,-1.0
552,13063,10,-1.0
553,13085,10,-1.0
554,13085,20,-1.0
555,13089,10,-1.0
556,13089,20,-1.0
557,13137,10,-1.0
558,13137,20,-1.0
559,13140,10,-1.0
560,13140,40,-1.0
561,13142,10,-1.0
562,13142,20,-1.0
563,13158,10,-1.0
564,13176,10,-1.0
565,13176,20,-1.0
566,13177,10,-1.0
567,13177,40,-1.0
568,13189,30,-1.0
569,13193,10,-1.0
570,13194,10,-1.0
571,13208,10,-1.0
572,13208,40,-1.0
573,13211,10,-1.0
574,13211,20,-1.0
575,13212,10,-1.0
576,13216,10,-1.0
577,13231,10,-1.0
578,13231,20,-1.0
579,13238,10,-1.0
580,13238,40,-1.0
581,13241,10,-1.0
582,13242,10,-1.0
583,13257,10,-1.0
584,13286,10,-1.0
585,13286,20,-1.0
586,13296,10,-1.0
587,13305,20,-1.0
588,13305,30,-1.0
589,13317,10,-1.0
590,13317,40,-1.0
591,13318,10,-1.0
592,13318,20,-1.0
593,13331,10,-1.0
594,13336,10,-1.0
595,13344,10,-1.0
596,13344,40,-1.0
597,13371,10,-1.0
598,13376,10,-1.0
599,13387,10,-1.0
600,13387,40,-1.0
601,13390,10,-1.0
602,13392,20,-1.0
603,13392,30,-1.0
604,13399,10,-1.0
605,13399,40,-1.0
606,13418,10,-1.0
607,13418,20,-1.0
608,13426,10,-1.0
609,13433,20,-1.0
610,13433,30,-1.0
611,13459,10,-1.0
612,13465,10,-1.0
613,13465,40,-1.0
614,13481,10,-1.0
615,13483,30,-1.0
616,13515,10,-1.0
617,13518,10,-1.0
618,13518,40,-1.0
619,13525,10,-1.0
620,13527,10,-1.0
621,13527,20,-1.0
622,13532,10,-1.0
623,13532,20,-1.0
624,13535,10,-1.0
625,13535,20,-1.0
626,13547,10,-1.0
627,13547,20,-1.0
628,13552,20,-1.0
629,13552,30,-1.0
630,13560,10,-1.0
631,13561,10,-1.0
632,13561,20,-1.0
633,13564,10,-1.0
634,13564,20,-1.0
635,13573,10,-1.0
636,13573,20,-1.0
637,13583,20,-1.0
638,13583,30,-1.0
639,13590,30,-1.0
640,13590,40,-1.0
641,13595,10,-1.0
642,13598,10,-1.0
643,13598,20,-1.0
644,13600,10,-1.0
645,13600,20,-1.0
646,13601,10,-1.0
647,13601,40,-1.0
648,13602,20,-1.0
649,13602,30,-1.0
650,13612,10,-1.0
651,13631,10,-1.0
652,13631,20,-1.0
653,13635,10,-1.0
654,13635,20,-1.0
655,13637,10,-1.0
656,13644,10,-1.0
657,13652,10,-1.0
