,hhid,pn,h9atotw
85,010481,020,-0.20303619419837407
86,010482,010,1.812789144712296
87,010533,010,
88,010533,011,
89,010533,020,
90,010537,010,
91,010537,011,
92,010546,010,
93,010556,010,
94,010565,020,1.6985267827334778
95,010565,030,
96,010567,010,
97,010568,010,2.5226517742463628
98,010571,010,-0.3699486858982782
99,010571,020,
100,010577,010,
101,010577,011,-1.4498434296513674
102,010592,010,0.14053206297679846
103,010600,010,
104,010602,010,
105,010611,010,
106,010644,010,
107,010644,040,
108,010645,020,
109,010645,030,
110,010645,031,0.30743025425320164
111,010646,010,
112,010646,020,
113,010648,010,-0.5178441376248294
114,010648,020,-0.5178441376248294
115,010652,010,3.9632802478017606
116,010671,010,
117,010672,030,
118,010672,031,1.1359739584960729
119,010677,010,
120,010689,010,
121,010689,020,
122,010696,010,1.1359739584960729
123,010707,010,-0.03965720024605222
124,010707,020,-0.03965720024605222
125,010708,020,
126,010708,030,0.030193533590475864
127,010719,020,
128,010719,030,
129,010740,010,
130,010751,010,
131,010752,010,
132,010756,010,
133,010756,011,
134,010766,010,
135,010769,010,-0.8726403626541928
136,010769,040,-0.8726403626541928
137,010773,020,-0.6616299748470884
138,010773,030,-0.6616299748470884
139,010775,020,-1.2916226829180661
140,010775,030,-1.2916226829180661
141,010776,010,
142,010781,010,-1.1035912658435407
143,010781,040,-1.1035912658435407
144,010818,010,-0.6279020561498057
145,010818,040,-0.6279020561498057
146,010821,030,
147,010822,010,-1.7886587405741672
148,010822,040,-1.7886587405741672
149,010853,010,
150,010893,010,-1.1167597950208559
151,010896,010,1.2947911614967802
152,010902,010,
153,010917,010,
154,010923,020,
155,010923,021,
156,010923,030,
157,010926,010,
158,010926,040,
159,010929,010,
160,010929,040,
161,010941,010,
162,010951,010,
163,010956,010,
164,010956,040,
165,010962,010,0.2878418682734606
166,010962,040,
167,010989,010,-0.8161312924701859
168,010989,020,-0.8161312924701859
169,010990,010,
170,010990,040,
171,010994,010,1.812789144712296
172,011010,010,3.4940865710559095
173,011067,020,-0.8079187276665076
174,011067,030,-0.8079187276665076
175,011071,010,-0.5262995676596419
176,011071,020,-0.5262995676596419
177,011074,020,-0.6124174916737294
178,011074,030,
179,011141,010,-1.2352820200848453
180,011141,020,-1.2352820200848453
181,011147,010,
182,011155,010,
183,011179,010,0.12041121326766202
184,011179,020,0.12041121326766202
185,011186,010,4.525833072039166
186,011212,010,0.47066616998389593
187,011212,011,0.47066616998389593
188,011212,020,
189,011214,010,
190,011218,010,
191,011219,010,
192,011219,011,
193,011219,020,
194,011230,010,
195,011241,010,
196,011241,040,
197,011248,010,1.102926515178229
198,011253,010,2.4738474677766984
199,011256,010,3.815970442505099
200,011256,040,3.815970442505099
201,011264,010,
202,011264,020,
203,011277,010,
204,011323,010,
205,011332,010,-1.0860833160398893
206,011332,020,-1.0860833160398893
207,011333,020,-0.5217463170090203
208,011333,030,-0.5217463170090203
209,011341,010,0.3242182775429129
210,011341,020,
211,011345,010,-0.45451822912978845
212,011345,020,-0.45451822912978845
213,011347,020,-0.8685710089380219
214,011347,030,-0.8685710089380219
215,011368,010,-0.4849317484150268
216,011368,020,-0.4849317484150268
217,011377,010,-0.47401326123899995
218,011377,040,-0.47401326123899995
219,011378,010,-0.5654067339647729
220,011378,020,-0.5654067339647729
221,011379,010,
222,011379,020,3.3467767657592478
223,011380,010,
224,011380,040,
225,011387,020,-0.04478636815064146
226,011387,030,
227,011423,010,2.1505999266862172
228,011466,010,
229,011466,040,
230,011467,010,3.3467767657592478
231,011469,030,
232,011477,010,
233,011477,011,
234,011478,010,
235,011479,010,
236,011479,040,
237,011505,010,
238,011506,010,0.5734211342586679
239,011522,010,
240,011524,010,
241,011524,020,
242,011542,010,
243,011542,040,
244,011549,020,
245,011549,030,
246,011554,020,
247,011554,030,
248,011563,010,1.2092498398703946
249,011570,010,
250,011570,040,
251,011575,010,
252,011575,020,-0.3187950725302594
253,011582,010,
254,011582,020,-0.532359290646929
255,011590,020,-0.4229970392449403
256,011590,030,
257,011591,010,
258,011591,020,
259,011603,010,
260,011603,020,
261,011608,010,-0.6826147856452045
262,011608,040,-0.6826147856452045
263,011611,010,-1.128369696508182
264,011611,011,
265,011611,040,
266,011612,010,
267,011612,040,
268,011620,010,-0.5197316613701451
269,011620,040,-0.5197316613701451
270,011626,010,-0.6636659920331565
271,011626,011,-0.6636659920331565
272,011656,010,0.1051385923576098
273,011667,020,-0.3383416307247788
274,011667,030,-0.3383416307247788
275,011671,010,
276,011671,040,
277,011678,010,-0.21047541919773938
278,011678,040,-0.42136887365165776
279,011678,041,-0.42136887365165776
280,011690,010,2.739313628324851
281,011694,010,-0.20552796382427263
282,011694,020,-0.20552796382427263
283,011716,010,
284,011765,010,0.5667623521853197
285,011787,010,
286,011787,040,
287,011793,010,0.8744017912205934
288,011793,040,
289,011798,010,
290,011802,010,0.18544237617379056
291,011802,011,
292,011802,020,
293,011810,010,
294,011810,020,
295,011818,010,
296,011825,010,-0.19548729609072404
297,011825,040,
298,011826,010,
299,011826,011,-0.32839226054590387
300,011828,010,
301,011830,010,
302,011830,040,
303,011835,010,
304,011835,020,
305,011841,010,1.3435954679664441
306,011841,040,
307,011854,010,-0.7320417628306478
308,011854,020,-0.7320417628306478
309,011856,010,2.4738474677766984
310,011859,010,
311,011862,020,-0.043082347783845044
312,011862,030,0.27687852214827907
313,011863,010,
314,011876,010,0.10195668816987818
315,011876,040,
316,011878,010,
317,011878,040,0.5403736909408241
318,011881,010,-0.04851537114130751
319,011881,011,-0.04851537114130751
320,011893,010,
321,011902,020,
322,011902,030,0.9810403253087825
323,011902,031,0.9810403253087825
324,011907,010,
325,011907,020,
326,011911,010,-0.4356807271165472
327,011911,040,-0.4356807271165472
328,011927,010,
329,011929,020,
330,011930,010,
331,011930,040,
332,011932,020,0.8019458582163035
333,011932,030,
334,011933,010,-0.45451822912978845
335,011933,040,
336,011936,010,-0.11760839826753618
337,011936,011,-0.11760839826753618
338,011936,012,
339,011936,020,
340,011937,010,3.7017080805262808
341,011948,020,2.7842239415218426
342,011948,030,
343,011956,010,
344,011956,040,
345,011959,010,
346,011959,020,
347,011983,010,
348,011983,040,-1.0286577020643264
349,011989,010,
350,011993,010,-0.1449054507501732
351,011993,020,-0.1449054507501732
352,011999,010,0.07546504043637708
353,011999,020,0.07546504043637708
354,012005,010,0.5599451552686515
355,012005,040,
356,012007,010,
357,012009,010,-1.1022987342838768
358,012009,040,-1.1022987342838768
359,012010,010,-1.8553047815093826
360,012010,020,-1.8553047815093826
361,012023,010,
362,012025,010,
363,012033,010,0.7642523641867627
364,012033,011,1.1786701490283933
365,012045,010,
366,012045,011,1.7757567968658512
367,012045,020,
368,012052,010,
369,012054,010,
370,012054,020,
371,012068,010,
372,012068,020,
373,012094,010,2.9918454509922143
374,012094,011,
375,012094,040,
376,012104,010,0.4347175424312141
377,012104,020,0.4347175424312141
378,012106,010,
379,012106,011,
380,012108,010,
381,012112,020,
382,012112,030,
383,012118,020,
384,012118,030,0.8349933015341474
385,012124,020,0.5621666669858802
386,012124,030,0.5621666669858802
387,012135,020,-0.6727291958474395
388,012135,030,-0.6727291958474395
389,012139,010,
390,012139,040,
391,012140,010,
392,012145,010,
393,012145,020,-0.6466216526257472
394,012156,010,
395,012156,040,
396,012161,010,
397,012161,020,
398,012162,010,-0.13301634773760534
399,012166,010,-0.18782544270549226
400,012166,040,-0.18782544270549226
401,012172,010,0.12989403330445273
402,012172,020,0.12989403330445273
403,012174,010,
404,012174,040,
405,012178,010,3.9632802478017606
406,012179,010,4.525833072039166
407,012183,010,1.9270515066911134
408,012195,010,-0.10263488555063977
409,012196,010,-0.4506825733846839
410,012196,020,-0.4506825733846839
411,012218,010,0.13470212166022894
412,012218,020,0.13470212166022894
413,012223,020,-0.07676946344929843
414,012223,030,
415,012232,010,-0.22623228234956033
416,012232,040,-0.22623228234956033
417,012235,010,0.13470212166022894
418,012235,040,0.13470212166022894
419,012242,010,0.03813257087712843
420,012242,020,0.03813257087712843
421,012243,020,-0.32276453153747564
422,012243,030,-0.32276453153747564
423,012252,010,
424,012252,020,-0.20303619419837407
425,012257,010,0.13955578499246457
426,012257,040,0.13955578499246457
427,012273,010,-0.8726403626541928
428,012273,040,-0.8726403626541928
429,012274,010,-0.7333735129900846
430,012274,020,-0.7333735129900846
431,012276,020,-0.934301363122919
432,012276,030,-0.934301363122919
433,012278,030,
434,012280,020,-1.1074493994819206
435,012280,030,-1.1074493994819206
436,012285,010,-0.8547680802842402
437,012292,010,-0.2729707413827722
438,012292,020,
439,012302,010,-0.7320417628306478
440,012306,010,
441,012310,010,0.4347175424312141
442,012310,011,0.4347175424312141
443,012315,010,-0.22431894001065494
444,012315,040,-0.22431894001065494
445,012318,010,-0.04137263785602107
446,012319,010,
447,012323,010,
448,012332,030,
449,012344,010,-2.0707200633506075
450,012344,020,-2.0707200633506075
451,012345,020,
452,012345,030,
453,012393,020,-0.7342151668242575
454,012393,030,-0.7342151668242575
455,012394,010,0.2724404772967425
456,012398,010,
457,012401,010,
458,012401,040,0.3118489669831885
459,012405,010,
460,012417,010,
461,012418,020,
462,012418,030,
463,012424,010,
464,012443,010,0.8001709599135265
465,012443,040,0.8001709599135265
466,012445,010,-0.3894074490816712
467,012445,040,
468,012455,010,
469,012458,010,
470,012458,020,-0.21780811224815416
471,012474,010,
472,012474,040,-1.1121257575327201
473,012479,010,-0.8672073392967303
474,012481,010,0.15389730356009876
475,012481,011,0.15389730356009876
476,012483,010,
477,012484,010,-0.9639688757026522
478,012484,020,-0.9639688757026522
479,012488,010,
480,012494,010,
481,012494,040,-0.843451428586375
482,012496,010,
483,012496,020,
484,012502,010,
485,012502,011,
486,012502,020,
487,012507,010,-0.8157539749026969
488,012510,010,-1.3256378883062963
489,012510,020,-1.3256378883062963
490,012512,010,-1.2583764980306122
491,012512,020,-1.2583764980306122
492,012513,010,-1.8920804800640763
493,012513,020,-1.8920804800640763
494,012514,010,
495,012514,040,
496,012516,010,-1.1662879657013705
497,012516,040,-1.1662879657013705
498,012520,010,
499,012520,040,-0.7027733598951813
500,012529,020,-1.005216144521429
501,012529,030,
502,012532,010,
503,012543,010,-0.4913728100424326
504,012549,010,0.5849285319627133
505,012549,011,0.5849285319627133
506,012549,040,-1.2791687348550413
507,012552,010,
508,012552,020,
509,012553,010,
510,012562,010,
511,012562,011,-2.0692926013954946
512,012571,010,
513,012571,020,-1.0226452144230158
514,012573,010,-2.479221116937502
515,012573,011,-2.479221116937502
516,012574,010,
517,012574,020,-0.9734879907401794
518,012576,010,
519,012586,010,-0.4161236790290297
520,012586,020,-0.4161236790290297
521,012588,010,-0.9451455512535499
522,012588,020,-0.9451455512535499
523,012596,010,-1.7094423472877658
524,012596,040,-1.7094423472877658
525,012605,010,
526,012605,040,
527,012605,041,
528,012611,010,0.7560592670349775
529,012611,020,0.7560592670349775
530,012629,010,-0.6333207061609936
531,012629,011,-0.6333207061609936
532,012629,040,
533,012648,010,
534,012648,040,0.41848750107137667
535,012651,010,
536,012653,010,-0.11316213894813373
537,012653,040,-0.11316213894813373
538,012666,010,3.7017080805262808
539,012667,010,0.4093210494197292
540,012671,010,-0.48565143602144
541,012682,010,
542,012682,011,
543,012690,010,
544,012695,020,-0.8057404067159459
545,012695,030,-0.8057404067159459
546,012706,010,
547,012709,010,
548,012709,020,
549,012715,020,-0.8140147240396416
550,012715,030,-0.8140147240396416
551,012736,010,
552,012738,010,1.3435954679664441
553,012738,020,1.3435954679664441
554,012743,010,
555,012744,010,-0.750378266942898
556,012744,011,-0.750378266942898
557,012744,020,
558,012745,010,-0.6222051643380725
559,012745,020,-0.6222051643380725
560,012756,010,-1.3503290022281556
561,012756,011,-1.3503290022281556
562,012757,010,
563,012761,010,
564,012761,040,
565,012762,010,
566,012762,020,-0.678683421630245
567,012765,010,0.34717729446283685
568,012765,020,
569,012786,010,-0.36268533507123013
570,012792,010,1.6051676352419246
571,012799,020,
572,012799,030,
573,012804,010,
574,012821,010,-1.4287350227559599
575,012830,010,
576,012852,020,1.6051676352419246
577,012852,021,
578,012852,030,
579,012854,010,-0.12289344384086454
580,012864,020,-0.4813180591216098
581,012864,030,
582,012887,010,-0.23919645955017108
583,012887,011,
584,012909,020,-0.5641743443261669
585,012909,030,
586,012920,010,
587,012922,010,
588,012922,040,
589,012948,010,
590,012964,010,
591,012964,040,-0.11017637161003462
592,012967,010,0.5403736909408241
593,012971,020,
594,012971,030,
595,012974,010,-0.23483833746332386
596,012974,020,1.2632004976755018
597,012974,021,
598,012979,010,-0.4725397130345697
599,012979,020,-0.4725397130345697
600,012981,020,
601,012981,030,-0.8259932269269061
602,012981,031,
603,012985,010,
604,012985,040,
605,012987,010,
606,012987,020,
607,013008,010,1.3975461257715522
608,013008,040,1.3975461257715522
609,013054,010,
610,013054,040,0.5298154272391464
611,013062,010,0.6736536419661326
612,013062,020,
613,013063,010,0.3391932430978576
614,013085,010,
615,013085,020,
616,013089,010,
617,013089,020,
618,013137,010,
619,013137,020,0.633732838432378
620,013137,021,0.633732838432378
621,013140,010,-0.317797881080406
622,013140,040,-0.317797881080406
623,013142,010,-0.007754020304196643
624,013142,020,-0.007754020304196643
625,013158,010,-0.36814248421011353
626,013176,010,
627,013176,020,-0.35716940043019385
628,013189,020,-1.1142373384535476
629,013189,030,-1.1142373384535476
630,013193,010,
631,013193,040,
632,013194,010,-0.901213991726169
633,013194,011,1.5171703969284707
634,013208,010,-0.44057328616742236
635,013208,040,-0.44057328616742236
636,013211,010,-0.27514508710285296
637,013211,020,-0.27514508710285296
638,013212,010,
639,013216,010,0.11573485521686243
640,013231,010,0.4993872103363276
641,013231,020,0.4993872103363276
642,013238,010,0.0711800141949723
643,013238,040,
644,013241,010,
645,013241,040,
646,013242,010,
647,013257,010,2.9918454509922143
648,013286,010,0.9398598467297468
649,013286,020,0.9398598467297468
650,013296,010,0.3851248483575094
651,013305,020,
652,013305,030,0.30170888023220904
653,013317,010,3.210465462897416
654,013317,040,3.210465462897416
655,013318,010,-0.28385796813783953
656,013318,020,-0.28385796813783953
657,013331,010,
658,013336,010,
659,013336,020,
660,013344,010,-1.8725209977569965
661,013344,040,-1.8725209977569965
662,013371,010,-0.18911040610920446
663,013371,012,-0.18911040610920446
664,013376,010,
665,013376,020,
666,013387,010,
667,013387,040,-0.8491410165402742
668,013390,010,
669,013390,020,
670,013390,021,
671,013392,020,0.5252482374548718
672,013392,030,
673,013399,010,-0.13358879905230797
674,013399,040,
675,013418,010,1.6985267827334778
676,013418,020,0.36579962478829564
677,013426,010,
678,013433,020,
679,013433,030,0.5193680751638136
680,013459,010,
681,013465,010,0.034147666348527485
682,013465,040,0.034147666348527485
683,013481,010,
684,013483,020,
685,013483,030,
686,013515,010,
687,013515,020,
688,013518,010,
689,013518,040,1.960098950008958
690,013525,010,
691,013525,040,
692,013527,010,1.102926515178229
693,013527,020,-0.5844118214512419
694,013532,010,
695,013532,020,
696,013535,010,
697,013535,020,
698,013547,010,
699,013547,020,
700,013552,020,-0.5859159063797478
701,013552,030,-0.5859159063797478
702,013560,010,-0.43345576797737206
703,013561,010,
704,013561,020,-0.5950579428702967
705,013564,010,
706,013564,020,
707,013573,010,
708,013573,020,
709,013583,020,
710,013583,030,-0.15997277130749943
711,013590,030,-0.5617006310723942
712,013590,040,-0.5617006310723942
713,013595,010,
714,013595,011,-0.9594273146884768
715,013598,010,0.8503946925108655
716,013598,020,0.8503946925108655
717,013600,010,-0.7248800006653108
718,013600,020,-0.7248800006653108
719,013601,010,
720,013601,040,-0.2943095642737379
721,013602,020,
722,013602,030,
723,013612,010,0.4134672878441389
724,013631,010,-0.5823558156939855
725,013631,020,
726,013635,010,-0.6418730159880994
727,013635,020,-0.6418730159880994
728,013637,010,-0.6693241451580045
729,013637,040,-0.6693241451580045
730,013644,010,
731,013652,010,
732,013656,010,
733,013656,040,
734,013671,010,-0.6432493735664139
735,013671,020,-0.6432493735664139
736,013678,010,-0.6429320807868694
737,013678,040,-0.6429320807868694
738,013699,010,-1.3178575615688992
739,013699,040,
740,013706,010,
741,013734,010,-0.35716940043019385
742,013734,020,-0.35716940043019385
743,013738,010,-0.1449054507501732
744,013738,020,-0.1449054507501732
745,013753,010,-1.3103353941110738
746,013753,020,-1.3103353941110738
747,013757,020,
748,013757,030,-0.5190583441821762
749,013772,020,
750,013772,030,
751,013784,010,-0.3026021770506874
752,013784,040,-0.3026021770506874
753,013794,020,
754,013794,030,
755,013798,010,
756,013798,020,
757,013802,010,
758,013802,020,-0.6816347707093714
759,013808,010,
760,013808,011,
761,013813,010,1.6051676352419246
762,013813,020,
763,013814,010,-0.7660544958268917
764,013814,040,-0.7660544958268917
765,013815,010,-0.24796557453795193
766,013816,010,-0.4842110478770955
767,013816,040,-0.4842110478770955
768,013817,010,-0.34406300474577045
769,013817,011,-0.34406300474577045
770,013817,040,-0.5870971240838782
771,013817,041,-0.5870971240838782
772,013820,010,-1.5145130975564818
773,013820,020,-1.5145130975564818
774,013857,010,-1.24090726567794
775,013857,020,-1.24090726567794
776,013858,020,-0.32473778117655766
777,013858,030,-0.32473778117655766
778,013860,010,
779,013860,040,
780,013891,010,
781,013894,010,
782,013894,011,
783,013894,040,
784,013897,010,-0.1364414952753991
785,013899,010,0.09744513786033676
786,013899,040,-0.971820954061071
787,013899,041,-0.971820954061071
788,013902,010,-0.2794662743306555
789,013902,020,-0.2794662743306555
790,013912,010,-0.6311601221636494
791,013912,020,-0.6311601221636494
792,013915,010,-0.01139857410729274
793,013915,011,0.21848981949163443
794,013916,010,0.5298154272391464
795,013916,040,0.5298154272391464
796,013965,010,0.003337914782597563
797,013965,020,0.003337914782597563
798,013974,010,
799,014008,010,2.5766024320514704
800,014024,020,0.3765317647399081
801,014024,030,0.3765317647399081
802,014028,010,-0.42559138373145555
803,014028,020,-0.42559138373145555
804,014033,010,-0.23686361885160018
805,014036,010,
806,014036,040,1.0718832139399854
807,014038,010,
808,014043,010,-0.5999137980002582
809,014043,020,-0.5999137980002582
810,014063,010,0.1908042853518908
811,014063,020,0.1908042853518908
812,014069,010,-0.025722798980412416
813,014069,020,-0.025722798980412416
814,014072,010,-0.032737396998258415
815,014072,040,-0.032737396998258415
816,014080,020,0.10195668816987818
817,014080,030,0.33991394363578886
818,014080,031,
819,014081,010,-0.1633178783681762
820,014081,040,-0.1633178783681762
821,014085,010,-0.3046545150593245
822,014092,010,-0.24429160256038884
823,014092,040,-0.24429160256038884
824,014098,010,0.4176473734872317
825,014098,020,
826,014104,010,-1.057092475258836
827,014104,020,-1.057092475258836
828,014115,020,-0.5727394270151868
829,014115,021,-0.5727394270151868
830,014115,030,
831,014121,010,
832,014129,010,
833,014129,020,1.3975461257715522
834,014136,010,
835,014136,040,
836,014137,010,0.044168683770364585
837,014137,020,0.044168683770364585
838,014147,010,-0.6652889970295327
839,014147,040,-0.6652889970295327
840,014149,020,-1.020625260530736
841,014149,030,-1.020625260530736
842,014157,010,0.6764290289646976
843,014157,040,0.6764290289646976
844,014159,020,
845,014159,030,
846,014167,010,0.034147666348527485
847,014167,040,0.034147666348527485
848,014179,010,-0.5054026643137861
849,014179,040,-0.5054026643137861
850,014180,010,
851,014180,020,
852,014188,020,-0.2794662743306555
853,014188,030,-0.2794662743306555
854,014193,010,
855,014193,040,
856,014199,010,
857,014199,020,
858,014201,010,
859,014202,010,0.008597540678324142
860,014212,010,0.6736536419661326
861,014212,020,0.6736536419661326
862,014214,010,0.09699616137592164
863,014215,020,
864,014215,030,0.12041121326766202
865,014223,010,
866,014224,010,1.960098950008958
867,014224,011,
868,014224,020,
869,014226,010,
870,014230,010,
871,014230,020,
872,014234,010,-0.02217913329658174
873,014234,011,-0.439000143155375
874,014234,040,
875,014234,041,-0.48565143602144
876,014242,010,
877,014244,020,-1.148862772689442
878,014244,030,-1.148862772689442
879,014247,010,-0.7037137782452232
880,014247,040,-0.7037137782452232
881,014251,010,-0.5863296425982163
882,014252,010,-1.0647160710290973
883,014253,010,-1.093597460381278
884,014259,020,-0.6534039722782258
885,014259,030,-0.6534039722782258
886,014270,010,
887,014270,040,
888,014272,010,-0.5775701953686495
889,014272,011,-0.5775701953686495
890,014275,010,-0.4695798339973764
891,014275,020,
892,014283,010,
893,014307,010,0.008220056217682705
894,014308,010,
895,014320,020,
896,014320,030,
897,014332,010,0.06271605872019818
898,014332,011,-0.2869362591572318
899,014341,010,1.2212050361580027
900,014349,010,-0.3584617766466776
901,014349,040,-0.3584617766466776
902,014359,010,-0.6306185487153116
903,014359,020,-0.6306185487153116
904,014397,010,-1.1100054329806612
905,014397,020,-1.1100054329806612
906,014411,010,-0.6657445418457232
907,014411,020,
908,014420,010,2.221671117284437
909,014420,020,2.221671117284437
910,014420,021,
911,014427,010,-0.7614089327926862
912,014427,040,
913,014427,041,
914,014428,010,
915,014428,040,
916,014430,010,-0.0850132940375992
917,014430,020,-0.0850132940375992
918,014433,010,-0.1474175946980742
919,014433,020,-0.1474175946980742
920,014434,020,-0.5666361646818328
921,014434,030,-0.5666361646818328
922,014436,010,
923,014436,020,0.27497542132367964
924,014436,021,0.27497542132367964
925,014449,010,-1.136907576401834
926,014449,040,-1.136907576401834
927,014455,010,
928,014455,011,0.6806205201528391
929,014456,010,-1.472584549830581
930,014456,020,-1.472584549830581
931,014458,020,
932,014458,030,-0.9952116151703579
933,014458,031,-0.9952116151703579
934,014468,010,
935,014468,020,
936,014473,010,
937,014473,020,
938,014535,010,
939,014535,011,
940,014539,010,
941,014547,010,
942,014548,010,
943,014553,010,
944,014568,010,-1.8091327081498052
945,014568,020,-1.8091327081498052
946,014571,010,
947,014571,040,
948,014576,010,
949,014578,010,
950,014578,040,
951,014587,010,-0.8017492837875768
952,014587,011,-0.8017492837875768
953,014597,010,
954,014605,010,-0.32078364841850604
955,014605,040,-0.32078364841850604
956,014617,010,
957,014617,020,-0.004083340444426954
958,014618,010,-0.3005415801143369
959,014619,010,
960,014619,020,-1.070715913822114
961,014619,021,-1.070715913822114
962,014624,010,-0.46268390905187734
963,014624,040,-0.46268390905187734
964,014640,010,-0.1231854641782172
965,014640,011,
966,014648,010,
967,014648,020,
968,014655,020,
969,014655,030,1.3435954679664441
970,014670,010,
971,014672,010,
972,014672,040,2.2509395202199043
973,014674,010,
974,014681,010,1.014929276864776
975,014681,040,1.014929276864776
976,014701,010,2.8775830890133967
977,014711,010,
978,014711,011,
979,014711,012,
980,014726,010,-0.4590834092726081
981,014726,040,-0.4590834092726081
982,014731,010,
983,014731,020,
984,014736,010,-0.1573447097626633
985,014736,020,
986,014746,010,-0.40748395503020296
987,014748,010,
988,014748,020,0.4896334364272624
989,014754,010,-0.01861077287918804
990,014754,040,-0.2773102389446554
991,014756,010,-0.12493409757135372
992,014756,040,-0.12493409757135372
993,014758,020,-1.2487450357542018
994,014758,030,-1.2487450357542018
995,014768,010,
996,014771,010,
997,014771,020,
998,014782,010,0.9886641531994116
999,014783,010,
1000,014783,040,
1001,014787,010,-0.082490837470291
1002,014802,010,0.8642617044696139
1003,014802,020,
1004,014803,010,
1005,014808,010,
1006,014813,010,
1007,014823,020,
1008,014823,030,
1009,014830,010,0.0711800141949723
1010,014830,020,0.0711800141949723
1011,014844,010,-0.1774279758798955
1012,014852,010,
1013,014852,020,0.016589684042254707
1014,014869,010,-0.1721489843034124
1015,014869,020,-0.1721489843034124
1016,014872,010,0.15843104574918193
1017,014872,020,0.15843104574918193
1018,014902,010,
1019,014912,010,
1020,014955,010,-0.532359290646929
1021,014955,040,-0.532359290646929
1022,014959,010,-0.8955608075985383
1023,014959,020,-0.8955608075985383
1024,014981,010,
1025,014981,011,
1026,014992,010,-0.09498066758031606
1027,014996,010,-0.16948893859324296
1028,015000,010,
1029,015000,011,
1030,015014,010,
1031,015014,040,
1032,015015,020,-0.6894228698526554
1033,015015,030,
1034,015018,010,
1035,015023,010,-0.6101666852027715
1036,015023,040,-0.6101666852027715
1037,015037,010,
1038,015048,010,-0.5170330640956916
1039,015055,010,
1040,015055,040,
1041,015056,020,-0.698994319512804
1042,015056,030,-0.698994319512804
1043,015059,010,
1044,015059,020,
1045,015080,010,
1046,015080,040,-0.6224254515635266
1047,015129,010,3.529414898535558
1048,015131,010,
1049,015133,010,
1050,015140,010,
1051,015140,040,
1052,015148,010,
1053,015159,010,
1054,015172,010,-0.069688729474284
1055,015172,020,
1056,015189,010,0.88474674200618
1057,015189,040,0.88474674200618
1058,015195,010,-0.5823558156939855
1059,015195,020,
1060,015200,010,
1061,015200,040,
1062,015204,010,-0.8603339790808197
1063,015204,020,-0.8603339790808197
1064,015209,010,3.7017080805262808
1065,015216,010,2.636914136225181
1066,015225,010,-1.734062496280202
1067,015225,020,-1.734062496280202
1068,015230,010,-0.7738481918051763
1069,015230,020,-0.7738481918051763
1070,015236,010,-1.1014352304575397
1071,015236,040,-1.1014352304575397
1072,015239,010,-0.544041720876237
1073,015257,010,
1074,015268,020,0.4303963552034106
1075,015268,030,
1076,015293,010,0.15339602339508174
1077,015294,010,0.7844677912668331
1078,015304,020,
1079,015304,030,
1080,015314,010,
1081,015332,010,
1082,015332,040,-0.21047541919773938
1083,015339,010,0.1801360318210571
1084,015341,010,
1085,015341,040,-0.20053223983148658
1086,015344,010,-0.2837513005720612
1087,015344,020,-0.2837513005720612
1088,015346,020,-0.3127825848889487
1089,015346,030,-0.3127825848889487
1090,015358,010,
1091,015358,020,
1092,015362,010,
1093,015362,020,
1094,015372,010,-0.7302606909561306
1095,015419,010,1.800145103594429
1096,015419,011,
1097,015419,040,
1098,015429,010,0.08414419139558395
1099,015431,010,
1100,015436,010,-0.8427357643920733
1101,015436,020,-0.8427357643920733
1102,015440,010,-1.0323252819029236
1103,015440,040,-1.0323252819029236
1104,015445,010,-0.5641743443261669
