,HHID,PN,value
524,14098,10,1
525,14104,10,1
526,14104,20,1
527,14115,20,1
528,14136,10,1
529,14136,40,1
530,14137,10,1
531,14137,20,-1
532,14147,10,1
533,14147,40,1
534,14149,20,1
535,14149,30,1
536,14157,10,1
537,14157,40,1
538,14159,30,1
539,14167,10,-1
540,14167,40,1
541,14179,10,1
542,14179,40,1
543,14188,20,1
544,14188,30,-1
545,14199,20,-1
546,14202,10,1
547,14212,10,1
548,14212,20,1
549,14214,10,1
550,14215,30,1
551,14223,10,1
552,14224,10,1
553,14224,20,1
554,14234,10,-1
555,14234,41,1
556,14234,11,-1
557,14244,20,-1
558,14244,30,1
559,14247,10,1
560,14247,40,1
561,14251,10,1
562,14252,10,-1
563,14259,20,1
564,14259,30,1
565,14270,10,1
566,14270,40,1
567,14272,10,1
568,14272,11,1
569,14275,10,1
570,14307,10,1
571,14332,10,-1
572,14332,11,-1
573,14341,10,1
574,14349,10,1
575,14349,40,-1
576,14359,10,1
577,14359,20,1
578,14397,10,1
579,14397,20,-1
580,14411,10,-1
581,14420,10,1
582,14420,20,1
583,14427,10,-1
584,14428,10,1
585,14430,10,1
586,14430,20,1
587,14433,10,1
588,14433,20,1
589,14434,20,1
590,14434,30,1
591,14436,20,1
592,14436,21,1
593,14449,10,1
594,14449,40,-1
595,14455,11,1
596,14456,10,1
597,14456,20,1
598,14458,30,-1
599,14458,31,-1
600,14535,10,1
601,14535,11,1
602,14553,10,1
603,14568,10,-1
604,14568,20,-1
605,14587,10,1
606,14587,11,1
607,14605,10,1
608,14605,40,-1
609,14617,10,1
610,14617,20,1
611,14619,20,1
612,14619,21,1
613,14624,10,1
614,14624,40,1
615,14640,10,1
616,14655,30,-1
617,14670,10,1
618,14674,10,1
619,14681,10,1
620,14681,40,1
621,14701,10,1
622,14711,10,1
623,14711,11,1
624,14711,12,1
625,14726,10,1
626,14726,40,1
627,14736,10,-1
628,14746,10,-1
629,14748,20,1
630,14754,10,1
631,14754,40,1
632,14756,10,-1
633,14756,40,1
634,14758,20,-1
635,14758,30,1
636,14782,10,1
637,14787,10,1
638,14830,10,1
639,14830,20,1
640,14844,10,1
641,14852,20,-1
642,14869,10,-1
643,14869,20,1
644,14872,10,-1
645,14872,20,1
646,14955,10,1
647,14955,40,1
648,14959,10,-1
649,14959,20,1
650,14996,10,1
651,15000,10,-1
652,15000,11,1
653,15015,20,1
654,15023,10,1
655,15023,40,-1
656,15048,10,1
657,15056,20,1
658,15056,30,1
659,15080,40,1
660,15129,10,1
661,15140,10,1
662,15140,40,1
663,15148,10,1
664,15159,10,1
665,15172,10,-1
666,15172,20,1
667,15189,10,1
668,15189,40,1
669,15195,10,1
670,15204,10,1
671,15204,20,1
672,15209,10,1
673,15216,10,1
674,15225,10,-1
675,15225,20,1
676,15230,10,-1
677,15230,20,-1
678,15236,10,-1
679,15236,40,-1
680,15257,10,1
681,15268,20,1
682,15293,10,1
683,15294,10,1
684,15304,20,1
685,15304,30,1
686,15332,40,1
687,15339,10,1
688,15341,40,-1
689,15344,10,1
690,15344,20,1
691,15346,20,1
692,15346,30,1
693,15372,10,-1
694,15419,10,1
695,15429,10,1
696,15436,10,1
697,15436,20,1
698,15440,10,1
699,15440,40,-1
700,15445,10,1
701,15445,40,1
702,15447,10,1
703,15447,20,1
704,15469,10,1
705,15497,10,1
706,15497,40,1
707,15511,10,-1
708,15511,40,1
709,15514,20,1
710,15514,30,1
711,15516,10,1
712,15516,20,-1
713,15536,10,-1
714,15536,11,1
715,15537,10,1
716,15543,10,1
717,15543,20,-1
718,15551,10,1
719,15551,20,-1
720,15560,40,-1
721,15570,40,1
722,15588,40,1
723,15591,10,1
724,15591,20,1
725,15593,20,-1
726,15593,30,1
727,15618,10,1
728,15625,10,-1
729,15625,20,-1
730,15636,10,1
731,15648,20,1
732,15648,30,-1
733,15657,10,1
734,15658,10,1
735,15676,10,1
736,15676,40,1
737,15698,10,-1
738,15698,40,-1
739,15708,10,-1
740,15709,20,-1
741,15709,30,-1
742,15726,10,1
743,15726,40,1
744,15730,30,-1
745,15734,40,-1
746,15739,10,1
747,15739,40,1
748,15752,10,-1
749,15752,20,1
750,15758,10,-1
751,15776,10,-1
752,15776,20,1
753,15779,10,-1
754,15779,40,1
755,15781,10,1
756,15784,10,1
757,15784,20,1
758,15793,10,1
759,15801,40,1
760,15833,10,-1
761,15833,20,1
762,15834,10,1
763,15834,11,-1
764,15836,10,1
765,15836,20,1
766,15840,20,-1
767,15883,10,1
768,15883,11,1
769,15889,10,1
770,15889,20,1
771,15893,10,-1
772,15893,20,1
773,15897,20,1
774,15911,10,1
775,15911,21,-1
776,15911,22,1
777,15935,11,-1
778,15960,10,1
779,15972,10,1
780,15981,10,1
781,15981,40,-1
782,15982,10,1
