,HHID,PN,HB027,JB027,KB027,LB027
519,13808,10,,,,
520,13813,10,,,,
521,13814,10,,,,
522,13814,40,,,,
523,13815,10,,,,
524,13816,10,,,,
525,13816,40,,,,
526,13817,10,,,,
527,13817,11,,,,
528,13817,40,,,,
529,13817,41,,,,
530,13820,10,,,,
531,13820,20,,,,
532,13857,10,,,,
533,13857,20,,,,
534,13858,20,,,,
535,13858,30,,,,
536,13891,10,,,,
537,13894,10,,,,
538,13897,10,,,,
539,13899,40,,,,
540,13899,10,,,,
541,13902,10,,,,
542,13902,20,,,,
543,13912,10,,,,
544,13912,20,,,,
545,13915,10,,,,
546,13915,11,,,,
547,13916,10,,,,
548,13916,40,,,,
549,13974,10,,,,
550,14008,10,,,,
551,14024,20,,,,
552,14024,30,,,,
553,14028,10,,,,
554,14028,20,,,,
555,14033,10,,,,
556,14036,10,,,,
557,14036,40,,,,
558,14043,10,,,,
559,14043,20,,,,
560,14063,10,,,,
561,14063,20,,,,
562,14069,10,,,,
563,14069,20,,,,
564,14072,10,,,,
565,14072,40,,,,
566,14080,20,,,,
567,14080,30,,,,
568,14081,10,,,,
569,14081,40,,,,
570,14085,10,,,,
571,14092,10,,,,
572,14092,40,,,,
573,14098,10,,,,
574,14098,20,,,,
575,14104,10,,,,
576,14104,20,,,,
577,14115,20,,,,
578,14115,30,,,,
579,14121,10,,,,
580,14129,20,,,,
581,14136,10,,,,
582,14136,40,,,,
583,14137,10,,,,
584,14137,20,,,,
585,14147,10,,,,
586,14147,40,,,,
587,14149,20,,,,
588,14149,30,,,,
589,14157,10,,,,
590,14157,40,,,,
591,14159,20,,,,
592,14159,30,,,,
593,14167,10,,,,
594,14167,40,,,,
595,14179,10,,,,
596,14179,40,,,,
597,14188,20,,,,
598,14188,30,,,,
599,14212,10,,,,
600,14212,20,,,,
601,14214,10,,,,
602,14215,30,,,,
603,14223,10,,,,
604,14224,10,,,,
605,14224,20,,,,
606,14234,10,,,,
607,14234,41,0.552762552,,,
608,14234,11,,,,
609,14244,20,,,,
610,14244,30,,,,
611,14247,10,,,,
612,14247,40,,,,
613,14251,10,,,,
614,14252,10,,,,
615,14253,10,,,,
616,14259,20,,,,
617,14259,30,,,,
618,14270,10,,,,
619,14270,40,,,,
620,14272,10,,,,
621,14272,11,,,,
622,14275,10,,,,
623,14275,20,,,,
624,14307,10,,,,
625,14332,10,,,,
626,14332,11,,,,
627,14341,10,,,,
628,14349,10,,,,
629,14349,40,,,,
630,14359,10,,,,
631,14359,20,,,,
632,14397,10,,,,
633,14397,20,,,,
634,14411,10,,,,
635,14420,10,,,,
636,14420,20,,,,
637,14428,10,,,,
638,14428,40,,,,
639,14430,10,,,,
640,14430,20,,,,
641,14433,10,,,,
642,14434,20,,,,
643,14434,30,,,,
644,14436,10,,,,
645,14436,20,,,,
646,14449,10,,,,
647,14449,40,,,,
648,14455,10,,,,
649,14455,11,,,,
650,14456,10,,,,
651,14456,20,,,,
652,14458,30,,,,
653,14458,31,,,,
654,14535,10,,,,
655,14535,11,,,,
656,14553,10,,,,
657,14568,10,,,,
658,14568,20,,,,
659,14587,10,,,,
660,14605,10,,,,
661,14605,40,,,,
662,14617,10,,,,
663,14617,20,,,,
664,14618,10,,,,
665,14619,20,,,,
666,14619,21,,,,
667,14624,10,,,,
668,14624,40,,,,
669,14640,10,,,,
670,14655,30,,,,
671,14670,10,,,,
672,14672,40,,,,
673,14674,10,,,,
674,14681,10,,,,
675,14681,40,,,,
676,14701,10,,,,
677,14711,10,,,,
678,14711,12,,,,
679,14726,10,,,,
680,14726,40,,,,
681,14736,10,,,,
682,14746,10,,,,
683,14748,10,,,,
684,14748,20,,,,
685,14754,10,,,,
686,14754,40,,,,
687,14756,10,,,,
688,14756,40,,,,
689,14758,20,,,,
690,14758,30,,,,
691,14768,10,,,,
692,14771,10,,,,
693,14771,20,,,,
694,14782,10,,,,
695,14787,10,,,,
696,14802,10,,,,
697,14802,20,,,,
698,14830,10,,,,
699,14830,20,,,,
700,14844,10,,,,
701,14852,10,,,,
702,14852,20,,,,
703,14869,10,,,,
704,14869,20,,,,
705,14872,10,,,,
706,14872,20,,,,
707,14955,10,,,,
708,14955,40,,,,
709,14959,10,,,,
710,14959,20,,,,
711,14981,10,,,,
712,14992,10,,,,
713,14996,10,,,,
714,15000,10,,,,
715,15000,11,,,,
716,15015,20,,,,
717,15023,10,,,,
718,15023,40,,,,
719,15048,10,,,,
720,15056,20,,,,
721,15056,30,,,,
722,15059,20,,,,
723,15080,40,,,,
724,15129,10,,,,
725,15131,10,,,,
726,15140,10,,,,
727,15140,40,,,,
728,15148,10,,,,
729,15172,10,,,,
730,15172,20,,,,
731,15189,10,,,,
732,15189,40,,,,
733,15204,10,,,,
734,15204,20,,,,
735,15209,10,,,,
736,15216,10,,,,
737,15225,10,,,,
738,15225,20,,,,
739,15230,10,,,,
740,15230,20,,,,
741,15236,10,,,,
742,15236,40,,,,
743,15239,10,,,,
744,15257,10,,,,
745,15268,20,,,,
746,15268,30,,,,
747,15293,10,,,,
748,15294,10,,,,
749,15332,40,,,,
750,15339,10,,,,
751,15341,40,,,,
752,15344,10,,,,
753,15344,20,,,,
754,15346,20,,,,
755,15346,30,,,,
756,15358,10,,,,
757,15358,20,,,,
758,15372,10,,,,
