,HHID,E4588_y,F5348,G5735,HQ400,JQ400,KQ400,LQ400
158,010013,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
159,010013,-1.0,-1.0,1.0,1.0,-1.0,-1.0,
160,010013,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
161,010013,-1.0,-1.0,1.0,1.0,1.0,-1.0,
162,010013,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
163,010013,-1.0,-1.0,1.0,1.0,1.0,-1.0,
164,010013,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
165,010013,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,
166,010013,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
167,010013,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,
168,010013,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
169,010013,-1.0,1.0,-1.0,-1.0,1.0,-1.0,
170,010013,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0
171,010013,-1.0,1.0,-1.0,-1.0,1.0,-1.0,
172,010013,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0
173,010013,-1.0,1.0,-1.0,1.0,-1.0,-1.0,
174,010013,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
175,010013,-1.0,1.0,-1.0,1.0,-1.0,-1.0,
176,010013,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
177,010013,-1.0,1.0,-1.0,1.0,1.0,-1.0,
178,010013,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0
179,010013,-1.0,1.0,-1.0,1.0,1.0,-1.0,
180,010013,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0
181,010013,-1.0,1.0,1.0,-1.0,-1.0,-1.0,
182,010013,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
183,010013,-1.0,1.0,1.0,-1.0,-1.0,-1.0,
184,010013,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
185,010013,-1.0,1.0,1.0,-1.0,1.0,-1.0,
186,010013,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
187,010013,-1.0,1.0,1.0,-1.0,1.0,-1.0,
188,010013,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
189,010013,-1.0,1.0,1.0,1.0,-1.0,-1.0,
190,010013,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
191,010013,-1.0,1.0,1.0,1.0,-1.0,-1.0,
192,010013,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
193,010013,-1.0,1.0,1.0,1.0,1.0,-1.0,
194,010013,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
195,010013,-1.0,1.0,1.0,1.0,1.0,-1.0,
196,010013,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
197,010013,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
198,010013,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
199,010013,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
200,010013,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
201,010013,1.0,-1.0,-1.0,-1.0,1.0,-1.0,
202,010013,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
203,010013,1.0,-1.0,-1.0,-1.0,1.0,-1.0,
204,010013,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
205,010013,1.0,-1.0,-1.0,1.0,-1.0,-1.0,
206,010013,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
207,010013,1.0,-1.0,-1.0,1.0,-1.0,-1.0,
208,010013,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
209,010013,1.0,-1.0,-1.0,1.0,1.0,-1.0,
210,010013,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0
211,010013,1.0,-1.0,-1.0,1.0,1.0,-1.0,
212,010013,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0
213,010013,1.0,-1.0,1.0,-1.0,-1.0,-1.0,
214,010013,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
215,010013,1.0,-1.0,1.0,-1.0,-1.0,-1.0,
216,010013,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
217,010013,1.0,-1.0,1.0,-1.0,1.0,-1.0,
218,010013,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
219,010013,1.0,-1.0,1.0,-1.0,1.0,-1.0,
220,010013,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
221,010013,1.0,-1.0,1.0,1.0,-1.0,-1.0,
222,010013,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
223,010013,1.0,-1.0,1.0,1.0,-1.0,-1.0,
224,010013,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
225,010013,1.0,-1.0,1.0,1.0,1.0,-1.0,
226,010013,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
227,010013,1.0,-1.0,1.0,1.0,1.0,-1.0,
228,010013,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
229,010013,1.0,1.0,-1.0,-1.0,-1.0,-1.0,
230,010013,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
231,010013,1.0,1.0,-1.0,-1.0,-1.0,-1.0,
232,010013,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
233,010013,1.0,1.0,-1.0,-1.0,1.0,-1.0,
234,010013,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0
235,010013,1.0,1.0,-1.0,-1.0,1.0,-1.0,
236,010013,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0
237,010013,1.0,1.0,-1.0,1.0,-1.0,-1.0,
238,010013,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
239,010013,1.0,1.0,-1.0,1.0,-1.0,-1.0,
240,010013,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
241,010013,1.0,1.0,-1.0,1.0,1.0,-1.0,
242,010013,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0
243,010013,1.0,1.0,-1.0,1.0,1.0,-1.0,
244,010013,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0
245,010013,1.0,1.0,1.0,-1.0,-1.0,-1.0,
246,010013,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
247,010013,1.0,1.0,1.0,-1.0,-1.0,-1.0,
248,010013,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
249,010013,1.0,1.0,1.0,-1.0,1.0,-1.0,
250,010013,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
251,010013,1.0,1.0,1.0,-1.0,1.0,-1.0,
252,010013,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
253,010013,1.0,1.0,1.0,1.0,-1.0,-1.0,
254,010013,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
255,010013,1.0,1.0,1.0,1.0,-1.0,-1.0,
256,010013,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
257,010013,1.0,1.0,1.0,1.0,1.0,-1.0,
258,010013,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
259,010013,1.0,1.0,1.0,1.0,1.0,-1.0,
260,010013,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
261,010038,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
262,010050,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
263,010059,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
264,010063,-1.0,,,,-1.0,1.0,
265,010075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
266,010083,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
267,010097,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
268,010099,-1.0,-1.0,,-1.0,-1.0,,
269,010106,-1.0,-1.0,,-1.0,,,
270,010109,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
271,010114,-1.0,-1.0,-1.0,,,,
272,010147,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
273,010155,-1.0,-1.0,,,,,
274,010196,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
275,010206,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
276,010210,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
277,010225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
278,010281,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
279,010299,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
280,010299,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
281,010325,-1.0,-1.0,-1.0,-1.0,-1.0,,
282,010372,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
283,010378,-1.0,-1.0,-1.0,-1.0,-1.0,,
284,010394,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
285,010395,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
286,010397,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
287,010404,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
288,010410,-1.0,-1.0,-1.0,-1.0,-1.0,,
289,010414,-1.0,-1.0,-1.0,,,,
290,010433,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
