,HHID,PN,V47_x,V47_y,W103,E374,F686,G757,HX060_R,JX060_R,KX060_R,LX060_R
179,011264,010,-1.0,-1.0,-1.0,,,,,,,
180,011264,020,1.0,1.0,1.0,,,,,,,
181,011277,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
182,011323,010,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,
183,011332,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184,011332,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
185,011333,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
186,011333,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
187,011341,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
188,011341,020,1.0,1.0,1.0,1.0,1.0,,,,,
189,011345,010,1.0,1.0,1.0,,,,,1.0,1.0,1.0
190,011345,020,-1.0,-1.0,-1.0,,,,,-1.0,-1.0,-1.0
191,011347,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
192,011347,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
193,011368,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
194,011368,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
195,011377,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
196,011377,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
197,011378,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
198,011378,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
199,011379,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
200,011379,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
201,011380,010,1.0,1.0,1.0,,,,,,,
202,011380,040,-1.0,-1.0,-1.0,-1.0,,,,,,
203,011387,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
204,011387,030,1.0,1.0,1.0,1.0,1.0,,,,,
205,011423,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
206,011466,010,1.0,1.0,1.0,,,,,,,
207,011466,040,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0
208,011467,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
209,011469,030,1.0,1.0,1.0,,,,,,,
210,011477,010,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
211,011478,010,1.0,1.0,1.0,1.0,,,1.0,,,
212,011479,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
213,011479,040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
214,011505,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
215,011506,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
