,model,train_subset_size,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
18,lgb,3407,0.6880619635245725,0.7867783437442408,0.9703163017031631,0.5622895622895623,0.6445894682194749,0.30906956266510127,0.8372811471684596,0.21310017552977056,0.8372811471684596,0.3093314904024569,0.16813282167155705,0.1390907922696227
19,lgb,3451,0.6861743738750926,0.7885478058669678,0.9711815561959655,0.5591216216216216,0.6394115005297097,0.3094755143436685,0.837355255237158,0.2107974480100454,0.837355255237158,0.31411776970514904,0.16862483356861496,0.14106293521953203
20,lgb,3495,0.6806419863462224,0.7859774293097429,0.9658119658119657,0.5507976490344247,0.6419905295274375,0.3104434907010014,0.8337700129124809,0.20879225048400796,0.8337700129124809,0.3202609425431344,0.1690532737684695,0.13930877427062305
21,lgb,3538,0.6868370643986181,0.790355500135283,0.9682242990654205,0.5600676818950932,0.6520092852412052,0.31062747314867156,0.8322545542086359,0.22214856970083152,0.8322545542086359,0.3382275267863678,0.1661994980180651,0.146478197765413
22,lgb,3582,0.6914288431148807,0.7870381262719541,0.9636112390603409,0.5678391959798995,0.6489785234469492,0.31072026800670016,0.8278631673560887,0.2192633965738665,0.8278631673560887,0.3423764960168184,0.1668159580600713,0.1441423698367806
23,lgb,3626,0.6915057975617694,0.788489967492873,0.9627586206896552,0.5680868838763575,0.6524090742120828,0.3091560948703806,0.8253128061560321,0.2239498649866163,0.8253128061560321,0.35011043681231135,0.16581462455686366,0.14597641159143743
24,lgb,3669,0.6806655138204305,0.7893085275330267,0.9613108784706418,0.5500848896434636,0.6429016770345024,0.3082583810302535,0.8241984949088181,0.21833149724739587,0.8241984949088181,0.35020643401532614,0.16701507217650768,0.14352159594493377
25,lgb,3713,0.6884168362605433,0.7872047792142608,0.9611913357400722,0.5621805792163543,0.6440828855706839,0.30837597629948826,0.8247082282396836,0.21783422196549518,0.8247082282396836,0.3565759343245207,0.16712132241788974,0.14331459872230026
26,lgb,3757,0.6817365040526074,0.7859627246383631,0.9631274988893825,0.5517826825127334,0.6396149752385025,0.3084908171413362,0.8208342417647725,0.2105971358498726,0.8208342417647725,0.3575278617987474,0.16866763323339778,0.1396424323698327
27,lgb,3801,0.687677191290129,0.7895663494378894,0.9576719576719577,0.5609548167092925,0.6502169147257367,0.30912917653249145,0.8145350551577153,0.22402532598699,0.8145350551577153,0.37627554547891817,0.16579850119462053,0.1459474059750959
28,lgb,3844,0.6901269895420377,0.7856127534595191,0.9594771241830065,0.5654008438818565,0.6480588277949608,0.3077523413111342,0.8179437797573523,0.21521773131455602,0.8179437797573523,0.37317112957716825,0.16768037446281278,0.1417734035815667
29,lgb,3888,0.68395543896385,0.7867783437442406,0.9561101549053356,0.5554614733276885,0.6408996748957366,0.30838477366255146,0.8132754117885032,0.21602504475485462,0.8132754117885032,0.38179323472608195,0.16750787996927016,0.14086669661274756
30,lgb,3932,0.6864287646899667,0.7925631614651343,0.954954954954955,0.559322033898305,0.6494248941654359,0.3082400813835198,0.8085690037447242,0.23140937339471146,0.8085690037447242,0.40030671973716214,0.16422078991878872,0.14985977463933178
31,lgb,3975,0.6915293250359774,0.7836982052458425,0.9521389241846674,0.5675675675675675,0.6414666013422066,0.30742138364779875,0.8048899719304576,0.21357285093496992,0.8048899719304576,0.3914263754158307,0.16803182755878746,0.1391595773950175
32,lgb,4019,0.6810738135290819,0.786476407825238,0.9479429051217463,0.5508474576271186,0.6455744991395871,0.3080368250808659,0.8025085023560827,0.21921986485660827,0.8025085023560827,0.4038141850626594,0.16682525925728503,0.1438444490661045
